,title,imdb_id,original_title,year,runtime_minutes,genres,average_rating,num_votes
0,the shawshank redemption,0111161,the shawshank redemption,1994,142.0,drama,9.3,3182733
1,the dark knight,0468569,the dark knight,2008,152.0,"action,crime,drama",9.1,3161984
2,inception,1375666,inception,2010,148.0,"action,adventure,sci-fi",8.8,2811692
3,fight club,0137523,fight club,1999,139.0,"crime,drama,thriller",8.8,2601984
4,interstellar,0816692,interstellar,2014,169.0,"adventure,drama,sci-fi",8.7,2521607
5,forrest gump,0109830,forrest gump,1994,142.0,"drama,romance",8.8,2492584
6,pulp fiction,0110912,pulp fiction,1994,154.0,"crime,drama",8.8,2431723
7,the matrix,0133093,the matrix,1999,136.0,"action,sci-fi",8.7,2243917
8,the lord of the rings: the fellowship of the ring,0120737,the lord of the rings: the fellowship of the ring,2001,178.0,"adventure,drama,fantasy",8.9,2203274
9,the lord of the rings: the return of the king,0167260,the lord of the rings: the return of the king,2003,201.0,"adventure,drama,fantasy",9.0,2161551
10,seven,0114369,se7en,1995,127.0,"crime,drama,mystery",8.6,2017173
11,the dark knight rises,1345836,the dark knight rises,2012,164.0,"action,crime,drama",8.4,1990793
12,the lord of the rings: the two towers,0167261,the lord of the rings: the two towers,2002,179.0,"adventure,drama,fantasy",8.8,1954133
13,django unchained,1853728,django unchained,2012,165.0,"drama,western",8.5,1879878
14,gladiator,0172495,gladiator,2000,155.0,"action,adventure,drama",8.5,1846350
15,the wolf of wall street,0993846,the wolf of wall street,2013,180.0,"biography,comedy,crime",8.2,1783574
16,inglourious basterds,0361748,inglourious basterds,2009,153.0,"adventure,drama,war",8.4,1780137
17,the silence of the lambs,0102926,the silence of the lambs,1991,118.0,"crime,drama,horror",8.6,1720408
18,batman begins,0372784,batman begins,2005,140.0,"action,crime,drama",8.2,1710954
19,joker,7286456,joker,2019,122.0,"crime,drama,thriller",8.3,1690212
20,shutter island,1130884,shutter island,2010,138.0,"drama,mystery,thriller",8.2,1643391
21,saving private ryan,0120815,saving private ryan,1998,169.0,"drama,war",8.6,1636156
22,the prestige,0482571,the prestige,2006,130.0,"drama,mystery,sci-fi",8.5,1584861
23,schindler's list,0108052,schindler's list,1993,195.0,"biography,drama,history",9.0,1583450
24,the green mile,0120689,the green mile,1999,189.0,"crime,drama,fantasy",8.6,1559012
25,the avengers,0848228,the avengers,2012,143.0,"action,sci-fi",8.0,1556255
