,imdb_id,title,tags
0,0111161,theshawshankredemption,theshawshankredemption drama 1994 0111161
1,0468569,thedarkknight,thedarkknight action crime drama 2008 0468569
2,1375666,inception,inception action adventure scifi 2010 1375666
3,0137523,fightclub,fightclub crime drama thriller 1999 0137523
4,0816692,interstellar,interstellar adventure drama scifi 2014 0816692
5,0109830,forrestgump,forrestgump drama romance 1994 0109830
6,0110912,pulpfiction,pulpfiction crime drama 1994 0110912
7,0133093,thematrix,thematrix action scifi 1999 0133093
8,0120737,thelordoftherings:thefellowshipofthering,thelordoftherings:thefellowshipofthering adventure drama fantasy 2001 0120737
9,0167260,thelordoftherings:thereturnoftheking,thelordoftherings:thereturnoftheking adventure drama fantasy 2003 0167260
10,0114369,seven,seven crime drama mystery 1995 0114369
11,1345836,thedarkknightrises,thedarkknightrises action crime drama 2012 1345836
12,0167261,thelordoftherings:thetwotowers,thelordoftherings:thetwotowers adventure drama fantasy 2002 0167261
13,1853728,djangounchained,djangounchained drama western 2012 1853728
14,0172495,gladiator,gladiator action adventure drama 2000 0172495
15,0993846,thewolfofwallstreet,thewolfofwallstreet biography comedy crime 2013 0993846
16,0361748,inglouriousbasterds,inglouriousbasterds adventure drama war 2009 0361748
17,0102926,thesilenceofthelambs,thesilenceofthelambs crime drama horror 1991 0102926
18,0372784,batmanbegins,batmanbegins action crime drama 2005 0372784
19,7286456,joker,joker crime drama thriller 2019 7286456
20,1130884,shutterisland,shutterisland drama mystery thriller 2010 1130884
21,0120815,savingprivateryan,savingprivateryan drama war 1998 0120815
22,0482571,theprestige,theprestige drama mystery scifi 2006 0482571
23,0108052,schindler'slist,schindler'slist biography drama history 1993 0108052
24,0120689,thegreenmile,thegreenmile crime drama fantasy 1999 0120689
25,0848228,theavengers,theavengers action scifi 2012 0848228
26,0407887,thedeparted,thedeparted crime drama thriller 2006 0407887
27,0080684,starwars:episodev-theempirestrikesback,starwars:episodev-theempirestrikesback action adventure fantasy 1980 0080684
28,0499549,avatar,avatar action adventure fantasy 2009 0499549
29,0088763,backtothefuture,backtothefuture adventure comedy scifi 1985 0088763
30,4154796,avengers:endgame,avengers:endgame action adventure scifi 2019 4154796
31,0209144,memento,memento drama mystery thriller 2000 0209144
32,0120338,titanic,titanic drama romance 1997 0120338
33,0099685,goodfellas,goodfellas biography crime drama 1990 0099685
34,0120382,thetrumanshow,thetrumanshow comedy drama 1998 0120382
35,4154756,avengers:infinitywar,avengers:infinitywar action adventure scifi 2018 4154756
36,2015381,guardiansofthegalaxy,guardiansofthegalaxy action adventure comedy 2014 2015381
37,0110413,léon:theprofessional,léon:theprofessional action crime drama 1994 0110413
38,0325980,piratesofthecaribbean:thecurseoftheblackpearl,piratesofthecaribbean:thecurseoftheblackpearl action adventure fantasy 2003 0325980
39,0910970,wall·e,wall·e adventure animation family 2008 0910970
40,0266697,killbill:vol.1,killbill:vol.1 action crime thriller 2003 0266697
41,0103064,terminator2:judgmentday,terminator2:judgmentday action adventure scifi 1991 0103064
42,0169547,americanbeauty,americanbeauty drama 1999 0169547
43,0120586,americanhistoryx,americanhistoryx crime drama 1998 0120586
44,0110357,thelionking,thelionking adventure animation drama 1994 0110357
45,1431045,deadpool,deadpool action comedy scifi 2016 1431045
46,0434409,vforvendetta,vforvendetta action drama scifi 2005 0434409
47,0114814,theusualsuspects,theusualsuspects crime drama mystery 1995 0114814
48,0264464,catchmeifyoucan,catchmeifyoucan biography crime drama 2002 0264464
49,1049413,up,up adventure animation comedy 2009 1049413
50,0081505,theshining,theshining drama horror 1980 0081505
51,0371746,ironman,ironman action adventure scifi 2008 0371746
52,0119217,goodwillhunting,goodwillhunting drama romance 1997 0119217
53,0086190,starwars:episodevi-returnofthejedi,starwars:episodevi-returnofthejedi action adventure fantasy 1983 0086190
54,0266543,findingnemo,findingnemo adventure animation comedy 2003 0266543
55,1392190,madmax:furyroad,madmax:furyroad action adventure scifi 2015 1392190
56,0477348,nocountryforoldmen,nocountryforoldmen crime drama thriller 2007 0477348
57,0338013,eternalsunshineofthespotlessmind,eternalsunshineofthespotlessmind drama romance scifi 2004 0338013
58,0107290,jurassicpark,jurassicpark action adventure scifi 1993 0107290
59,0114709,toystory,toystory adventure animation comedy 1995 0114709
60,0105236,reservoirdogs,reservoirdogs crime thriller 1992 0105236
61,2267998,gonegirl,gonegirl drama mystery thriller 2014 2267998
62,6751668,parasite,parasite drama thriller 2019 6751668
63,0112573,braveheart,braveheart biography drama war 1995 0112573
64,2582802,whiplash,whiplash drama music 2014 2582802
65,0167404,thesixthsense,thesixthsense drama mystery thriller 1999 0167404
66,0082971,raidersofthelostark,raidersofthelostark action adventure 1981 0082971
67,1392170,thehungergames,thehungergames action adventure scifi 2012 1392170
68,0198781,"monsters,inc.","monsters,inc. adventure animation comedy 2001 0198781"
69,0268978,abeautifulmind,abeautifulmind biography drama mystery 2001 0268978
70,1201607,harrypotterandthedeathlyhallows:part2,harrypotterandthedeathlyhallows:part2 adventure family fantasy 2011 1201607
71,1160419,dune:partone,dune:partone action adventure drama 2021 1160419
72,0095016,diehard,diehard action thriller 1988 0095016
73,1675434,theintouchables,theintouchables comedy drama 2011 1675434
74,2488496,starwars:episodevii-theforceawakens,starwars:episodevii-theforceawakens action adventure scifi 2015 2488496
75,15398776,oppenheimer,oppenheimer biography drama history 2023 15398776
76,10872600,spider-man:nowayhome,spider-man:nowayhome action adventure fantasy 2021 10872600
77,0086250,scarface,scarface crime drama 1983 0086250
78,0253474,thepianist,thepianist biography drama music 2002 0253474
79,3659388,themartian,themartian adventure drama scifi 2015 3659388
80,0088247,theterminator,theterminator action adventure scifi 1984 0088247
81,2395427,avengers:ageofultron,avengers:ageofultron action adventure scifi 2015 2395427
82,0208092,snatch,snatch comedy crime 2000 0208092
83,0180093,requiemforadream,requiemforadream drama 2000 0180093
84,1843866,captainamerica:thewintersoldier,captainamerica:thewintersoldier action adventure scifi 2014 1843866
85,2278388,thegrandbudapesthotel,thegrandbudapesthotel comedy drama 2014 2278388
86,0435761,toystory3,toystory3 adventure animation comedy 2010 0435761
87,0145487,spider-man,spider-man action adventure scifi 2002 0145487
88,0458339,captainamerica:thefirstavenger,captainamerica:thefirstavenger action adventure scifi 2011 0458339
89,0245429,spiritedaway,spiritedaway adventure animation family 2001 0245429
90,0800369,thor,thor action fantasy 2011 0800369
91,1300854,ironman3,ironman3 action adventure scifi 2013 1300854
92,7131622,onceuponatime...inhollywood,onceuponatime...inhollywood comedy drama 2019 7131622
93,0241527,harrypotterandthesorcerer'sstone,harrypotterandthesorcerer'sstone adventure family fantasy 2001 0241527
94,1663202,therevenant,therevenant action drama western 2015 1663202
95,0382932,ratatouille,ratatouille adventure animation comedy 2007 0382932
96,1228705,ironman2,ironman2 action scifi 2010 1228705
97,1392214,prisoners,prisoners crime drama mystery 2013 1392214
98,1119646,thehangover,thehangover comedy 2009 1119646
99,0903624,thehobbit:anunexpectedjourney,thehobbit:anunexpectedjourney adventure fantasy 2012 0903624
100,3498820,captainamerica:civilwar,captainamerica:civilwar action scifi 2016 3498820
101,0120915,starwars:episodei-thephantommenace,starwars:episodei-thephantommenace action adventure fantasy 1999 0120915
102,3315342,logan,logan action drama scifi 2017 3315342
103,1877830,thebatman,thebatman action crime drama 2022 1877830
104,0121766,starwars:episodeiii-revengeofthesith,starwars:episodeiii-revengeofthesith action adventure fantasy 2005 0121766
105,0118715,thebiglebowski,thebiglebowski comedy crime 1998 0118715
106,2096673,insideout,insideout adventure animation comedy 2015 2096673
107,0416449,300,300 action drama 2006 0416449
108,0246578,donniedarko,donniedarko drama mystery scifi 2001 0246578
109,1010048,slumdogmillionaire,slumdogmillionaire crime drama romance 2008 1010048
110,1825683,blackpanther,blackpanther action adventure scifi 2018 1825683
111,1454468,gravity,gravity drama scifi thriller 2013 1454468
112,0317705,theincredibles,theincredibles action adventure animation 2004 0317705
113,3501632,thor:ragnarok,thor:ragnarok action adventure comedy 2017 3501632
114,0892769,howtotrainyourdragon,howtotrainyourdragon action adventure animation 2010 0892769
115,0947798,blackswan,blackswan drama thriller 2010 0947798
116,0083658,bladerunner,bladerunner action drama scifi 1982 0083658
117,1211837,doctorstrange,doctorstrange action adventure fantasy 2016 1211837
118,2084970,theimitationgame,theimitationgame biography drama thriller 2014 2084970
119,0480249,iamlegend,iamlegend drama horror scifi 2007 0480249
120,8946378,knivesout,knivesout comedy crime drama 2019 8946378
121,0317248,cityofgod,cityofgod crime drama 2002 0317248
122,0378194,killbill:vol.2,killbill:vol.2 action crime thriller 2004 0378194
123,0770828,manofsteel,manofsteel action adventure scifi 2013 0770828
124,0097576,indianajonesandthelastcrusade,indianajonesandthelastcrusade action adventure 1989 0097576
125,2543164,arrival,arrival drama mystery scifi 2016 2543164
126,1205489,grantorino,grantorino drama 2008 1205489
127,1745960,topgun:maverick,topgun:maverick action drama 2022 1745960
128,0093058,fullmetaljacket,fullmetaljacket drama war 1987 0093058
129,0090605,aliens,aliens action adventure horror 1986 0090605
130,0211915,amélie,amélie comedy romance 2001 0211915
131,0144084,americanpsycho,americanpsycho crime drama horror 2000 0144084
132,3896198,guardiansofthegalaxy:vol.2,guardiansofthegalaxy:vol.2 action adventure comedy 2017 3896198
133,2911666,johnwick,johnwick action crime thriller 2014 2911666
134,0383574,piratesofthecaribbean:deadman'schest,piratesofthecaribbean:deadman'schest action adventure fantasy 2006 0383574
135,0401792,sincity,sincity crime thriller 2005 0401792
136,0121765,starwars:episodeii-attackoftheclones,starwars:episodeii-attackoftheclones action adventure fantasy 2002 0121765
137,1285016,thesocialnetwork,thesocialnetwork biography drama 2010 1285016
138,5052448,getout,getout horror mystery thriller 2017 5052448
139,0118799,lifeisbeautiful,lifeisbeautiful comedy drama romance 1997 0118799
140,0126029,shrek,shrek adventure animation comedy 2001 0126029
141,5013056,dunkirk,dunkirk action drama history 2017 5013056
142,1631867,edgeoftomorrow,edgeoftomorrow action adventure scifi 2014 1631867
